,0
108.27,129.25347826086957
74.66,87.21
103.32,96.23
95.71,91.07
92.23,91.21
118.54,125.84
89.48,95.04
106.2,120.78
99.84,98.95
107.37,118.44
103.23,111.89
99.82,92.95
94.39,96.21
106.3,110.53
108.97,125.20333333333332
88.72,93.03
110.14,110.54
94.08,103.7
97.41,96.23
92.38,90.57
94.59,93.75
122.4,112.12
98.01,104.19
95.65,91.37
105.18,115.92
100.08,93.035
98.57,95.64
86.56,95.04
92.04,100.07
85.98,96.23
116.55,123.74599999999998
88.83,92.95
107.51,110.53
106.44,92.22
98.5,105.25
110.24,94.36
90.14,95.04
90.36,96.23
89.37,94.85
91.65,92.22
114.65,105.97
93.55,91.21
100.1,118.44
110.36,121.79
90.83,95.04
100.1,90.22
90.94,99.91
129.45,110.53
88.67,93.75
95.48,91.21
120.12,111.04
104.29,128.78
90.52,95.755
94.64,93.45
135.13,91.21
88.55,103.7
129.16,93.48
107.36,107.43
108.31,118.44
92.98,96.23
113.68,132.38272727272724
96.8,94.74
114.88,125.03000000000002
101.39,90.57
114.63,118.44
102.33,105.25
100.37,99.26
93.56,92.95
93.36,97.22
109.33,111.04
85.97,90.57
107.9,118.44
86.81,95.98
89.43,96.23
88.77,95.04
76.78,88.64
89.21,91.21
105.77,117.3
106.31,110.89
99.48,102.25
109.12,120.73
98.39,110.84
98.58,114.88
85.91,91.21
101.89,105.51333333333332
90.27,97.94
94.79,92.22
89.33,95.04
113.35,109.01333333333334
111.12,94.74
89.19,102.25
88.05,97.94
87.97,94.265
98.35,93.75
101.76,115.94
77.47,82.21
93.45,92.95
94.5,92.95
113.36,121.19
89.75,99.54
101.18,104.19
87.07,93.12
98.16,95.04
92.79,92.91
88.91,91.04
112.49,128.87
102.04,111.22
90.38,91.21
103.03,97.94
88.72,91.21000000000001
95.1,98.44
90.03,96.23
90.78,91.21
98.85,105.25
91.2,94.56
107.53,117.3
76.96,88.1
120.17,120.94
112.12,114.88
86.77,90.57
112.8,107.7
104.37,100.55
87.78,98.52
98.56,91.21
86.03,96.38
91.27,91.43
102.39,118.61
102.78,103.03
89.56,96.23
96.82,94.85
98.25,91.07
126.11,136.06231874800918
108.06,108.2
78.22,85.13
98.81,110.17
96.48,106.02
108.82,114.88
85.71,99.54
112.78,107.7
73.89,85.09
116.42,111.83
124.17,118.62
104.32,112.82
99.56,91.65
98.16,105.15
98.81,80.53
91.7,92.95
115.19,113.56
110.76,116.3
90.42,95.04
92.92,100.85750000000002
88.75,93.75
109.54,115.05
91.39,98.95
107.05,125.72
109.68,118.61
89.41,92.95
106.19,117.3
106.1,93.65333333333335
91.63,93.75
87.05,90.57
108.14,108.87
88.04,95.04
100.11,92.8
116.5,128.14
90.13,96.21
101.94,102.91
87.97,91.21
106.52,114.51
121.15,117.24
97.57,95.04
98.91,92.95
132.59,120.91
114.91,119.57
131.67,110.54
114.52,128.26999999999998
107.94,114.88
90.6,91.21
118.53,91.21
105.85,98.95
88.69,99.8
98.76,106.93
87.83,104.67
115.18,110.53
89.04,91.21000000000001
118.17,128.37
106.28,104.92
107.29,92.4
110.22,117.59
85.75,99.54
109.04,126.41
112.56,134.81
80.62,88.26
97.33,107.67
105.57,128.87
99.78,105.25
101.99,125.84
91.94,92.45
99.4,115.67666666666666
93.81,94.85
72.94,83.49
92.08,93.93
98.07,93.43
108.66,105.15
90.92,94.85
106.64,132.6609677419352
88.18,102.45
89.28,95.04
106.63,118.44
99.49,110.17
110.15,123.89
93.87,98.59
88.17,95.04
89.83,98.94
99.64,97.94
107.16,110.17
89.29,96.23
89.94,91.21
112.55,118.44
112.0,120.73
96.11,99.8
140.31,122.87
91.24,91.21
111.11,117.495
105.36,128.14
154.43,135.66918504315018
91.38,94.85
107.61,133.5
89.6,96.21
89.02,90.57
90.67,91.21
112.51,92.4
91.59,95.755
77.5,84.27
141.31,117.63499999999999
88.38,93.75
88.05,89.95
109.75,94.7
110.23,111.89
76.59,88.03000000000002
83.98,88.29
110.74,117.3
99.54,92.4
76.64,91.07
93.53,95.49
90.14,96.21
105.29,117.29
108.26,107.13
121.06,92.40000000000002
93.39,96.23
110.49,116.41
91.43,96.23
104.37,117.24
108.58,117.3
102.93,94.74
92.51,92.48
89.72,92.4
99.94,91.35
74.1,85.23
88.49,95.03999999999998
89.14,95.98
111.86,123.74599999999998
114.47,117.3
140.25,111.89
111.1,90.57
91.06,92.38
92.83,94.85
90.66,103.7
97.69,99.54
91.52,92.4
104.42,92.95
77.36,85.14
96.1,92.91
89.34,91.21
100.32,108.47
95.69,119.21000000000001
112.72,95.04
86.83,96.12
111.68,112.69
112.67,126.21363636363637
111.38,121.28
106.91,135.73452685422535
88.77,100.44
111.58,118.85
101.28,105.97
88.83,90.57
110.53,118.86
89.97,99.8
93.25,95.04
99.7,105.28
85.44,91.21
109.85,128.76
91.35,96.23
92.41,95.74
92.43,91.21
144.36,110.54
93.21,95.04
87.15,91.21000000000001
115.15,128.14
92.34,99.8
92.58,95.04
89.94,93.75
108.41,117.24
104.51,119.22
111.83,110.54
119.59,128.26999999999998
115.22,111.52
90.95,99.98
90.25,97.34
79.99,82.21
87.44,95.64
91.76,105.64
89.26,91.21
96.65,99.91
106.19,107.36
112.31,95.04
100.37,107.13
77.69,85.09
97.32,91.07
78.91,85.48
97.26,99.51
88.79,96.23
87.43,96.23
90.11,103.7
122.69,118.44
96.91,102.83
94.9,90.57
91.33,118.44
119.38,118.41
109.65,110.54
109.96,119.08
96.0,92.53
114.11,111.08
125.72,104.92
94.71,93.75
104.65,106.59
89.58,91.21
90.17,91.15
108.9,122.87
108.08,119.57
88.73,91.21
108.97,118.44
83.96,95.27
109.18,111.25166666666667
108.15,128.36
89.03,96.23
95.22,96.23
114.12,133.45999999999998
117.08,110.17
115.31,117.3
90.8,91.07
87.95,119.21000000000001
167.45,103.7
99.59,110.54
107.11,105.25
92.63,114.51
96.35,125.84
88.81,92.22
97.99,108.69
112.31,110.84
91.13,93.02
115.6,92.95
86.61,95.74
87.16,90.57
91.62,91.21
114.29,110.54
91.38,97.43
111.64,125.72
90.35,105.65
125.46,132.29
92.79,95.98
98.16,112.46
